"uri","type","dc.id","collection","notation","prefLabel","altLabel","broader","broaderTransitive","broadMatch","changeNote","closeMatch","definition","editorialNote","exactMatch","example","hiddenLabel","historyNote","inScheme","mappingRelation","note","related","relatedMatch","scopeNote","semanticRelation","topConceptOf","type_status","layer","typevoorschrift","typevoorschriften.uitdovend"
"colt:voorschrift_categorie","skos:Collection","voorschrift_categorie",,,"Voorschrift categorie",,,,,,,,,,,,,,,,,,,,,,,,
"colt:voorschrift_subcategorie","skos:Collection","voorschrift_subcategorie",,,"Voorschrift subcategorie",,,,,,,,,,,,,,,,,,,,,,,,
"cs:plan_legende","skos:ConceptScheme","plan_legende",,,"Legendecodes",,,,,,,,,,,,,,,,,,,,,,,,
"ct:00","skos:Concept",,"colt:voorschrift_categorie","00","afbakeningen in overdruk, geen onderliggende bestemming",,,,,,,,,,,,,"cs:plan_legende",,,,,,,"cs:plan_legende",,,,
"ct:000","skos:Concept",,"colt:voorschrift_subcategorie","000","onzichtbare afbakeningslijn",,"ct:00",,,,,,,,,,,,,,,,,,,,,,
"ct:00000_00","skos:Concept",,,"00000_00","onzichtbare afbakeningslijn (voor identificeerbaarheid)",,"ct:000",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"ov","ONWAAR","ONWAAR"
"ct:00000_01","skos:Concept",,,"00000_01","onzichtbare afbakeningslijn (voor identificeerbaarheid)",,"ct:000",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"ln","ONWAAR","ONWAAR"
"ct:001","skos:Concept",,"colt:voorschrift_subcategorie","001","stedelijke gebieden",,"ct:00",,,,,,,,,,,,,,,,,,,,,,
"ct:00100_00","skos:Concept",,,"00100_00","wijziging afbakeningslijnen",,"ct:001",,,,,,,,,,,"cs:plan_legende",,,,,,,,,,"ONWAAR","ONWAAR"
"ct:00101_00","skos:Concept",,,"00101_00","grenslijn Vlaams stedelijk gebied rond Brussel",,"ct:001",,,,,,,,,,,"cs:plan_legende",,,,,,,,"/","ov","ONWAAR","ONWAAR"
"ct:00102_00","skos:Concept",,,"00102_00","opheffing afbakening stedelijk gebied",,"ct:001",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"ov","ONWAAR","ONWAAR"
"ct:00103_00","skos:Concept",,,"00103_00","grenslijn grootstedelijk gebied",,"ct:001",,,,,,,,,,,"cs:plan_legende",,,,,,,,"/","ov","WAAR","ONWAAR"
"ct:00103_01","skos:Concept",,,"00103_01","grenslijn grootstedelijk gebied",,"ct:001",,,,,,,,,,,"cs:plan_legende",,,,,,,,"/","ov","WAAR","ONWAAR"
"ct:00105_00","skos:Concept",,,"00105_00","grenslijn regionaalstedelijk gebied",,"ct:001",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","ov","WAAR","ONWAAR"
"ct:00105_01","skos:Concept",,,"00105_01","grenslijn regionaalstedelijk gebied",,"ct:001",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","ov","WAAR","ONWAAR"
"ct:00106_00","skos:Concept",,,"00106_00","inkrimping afbakeningslijn",,"ct:001",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"ov","ONWAAR","ONWAAR"
"ct:002","skos:Concept",,"colt:voorschrift_subcategorie","002","afbakening zeehavens, luchthaven van Zaventem en logistieke parken",,"ct:00",,,,,,,,,,,,,,,,,,,,,,
"ct:00201_00","skos:Concept",,,"00201_00","grenslijn zeehavengebied",,"ct:002",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","ov","WAAR","ONWAAR"
"ct:00201_01","skos:Concept",,,"00201_01","grenslijn zeehavengebied",,"ct:002",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","ov","WAAR","ONWAAR"
"ct:00201_02","skos:Concept",,,"00201_02","grenslijn zeehavengebied",,"ct:002",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","ov","WAAR","ONWAAR"
"ct:00202_00","skos:Concept",,,"00202_00","opheffing grenslijn zeehavengebied",,"ct:002",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"ov","ONWAAR","ONWAAR"
"ct:00203_00","skos:Concept",,,"00203_00","grens luchthaven (niet poort)",,"ct:002",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"ln","ONWAAR","ONWAAR"
"ct:003","skos:Concept",,"colt:voorschrift_subcategorie","003","gebieden van de natuurlijke structuur",,"ct:00",,,,,,,,,,,,,,,,,,,,,,
"ct:00301_00","skos:Concept",,,"00301_00","grote eenheid natuur",,"ct:003",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","ov","WAAR","ONWAAR"
"ct:00302_00","skos:Concept",,,"00302_00","grote eenheid natuur in ontwikkeling",,"ct:003",,,,,,,,,,,"cs:plan_legende",,,,,,,,"/","ov","WAAR","ONWAAR"
"ct:00303_00","skos:Concept",,,"00303_00","natuurverwevingsgebied",,"ct:003",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","ov","WAAR","ONWAAR"
"ct:00303_02","skos:Concept",,,"00303_02","natuurverwevingsgebied",,"ct:003",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","ov","WAAR","ONWAAR"
"ct:00304_00","skos:Concept",,,"00304_00","natuurverbindingsgebied",,"ct:003",,,,,,,,,,,"cs:plan_legende",,,,,,,,"L","ov","ONWAAR","ONWAAR"
"ct:004","skos:Concept",,"colt:voorschrift_subcategorie","004","elementen en componenten van de landschappelijke structuur",,"ct:00",,,,,,,,,,,,,,,,,,,,,,
"ct:00401_00","skos:Concept",,,"00401_00","erfgoedlandschap",,"ct:004",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"ov","ONWAAR","ONWAAR"
"ct:00402_00","skos:Concept",,,"00402_00","site met belangrijke erfgoedwaarde",,"ct:004",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"ov","ONWAAR","ONWAAR"
"ct:00402_01","skos:Concept",,,"00402_01","site met belangrijke erfgoedwaarde",,"ct:004",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"ov","ONWAAR","ONWAAR"
"ct:00403_00","skos:Concept",,,"00403_00","karakteristieke landschapselementen van gemeentelijk niveau (landschappelijk waardevol gebied)",,"ct:004",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","detail","ONWAAR","ONWAAR"
"ct:006","skos:Concept",,"colt:voorschrift_subcategorie","006","projectgebieden",,"ct:00",,,,,,,,,,,,,,,,,,,,,,
"ct:00601_00","skos:Concept",,,"00601_00","projectgebied (in overdruk)",,"ct:006",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","ov","ONWAAR","ONWAAR"
"ct:00603_00","skos:Concept",,,"00603_00","groenpool",,"ct:006",,,,,,,,,,,"cs:plan_legende",,,,,,,,"L","ov","ONWAAR","ONWAAR"
"ct:01","skos:Concept",,"colt:voorschrift_categorie","01","woongebieden",,,,,,,,,,,,,"cs:plan_legende",,,,,,,"cs:plan_legende",,,,
"ct:011","skos:Concept",,"colt:voorschrift_subcategorie","011","woongebieden (in gewestelijke rups)",,"ct:01",,,,,,,,,,,,,,,,,,,,,,
"ct:01101_00","skos:Concept",,,"01101_00","woongebied",,"ct:011",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:01101_02","skos:Concept",,,"01101_02","woongebied",,"ct:011",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:01101_03","skos:Concept",,,"01101_03","woongebied",,"ct:011",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:01101_05","skos:Concept",,,"01101_05","woongebied",,"ct:011",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:01101_06","skos:Concept",,,"01101_06","woongebied",,"ct:011",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","detail","WAAR","ONWAAR"
"ct:01102_00","skos:Concept",,,"01102_00","stationsomgeving",,"ct:011",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:01102_01","skos:Concept",,,"01102_01","stationsomgeving",,"ct:011",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:01103_00","skos:Concept",,,"01103_00","gebied voor gemengde stedelijke aktiviteiten",,"ct:011",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:01103_01","skos:Concept",,,"01103_01","gebied voor gemengde stedelijke aktiviteiten",,"ct:011",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:01104_00","skos:Concept",,,"01104_00","cultuurhistorisch woongebied",,"ct:011",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","ONWAAR","ONWAAR"
"ct:01105_xx","skos:Concept",,,"01105_xx","terrein voor doortrekkers",,"ct:011",,,,,,,,,,,"cs:plan_legende",,,,,,,,,,"ONWAAR","ONWAAR"
"ct:01106_00","skos:Concept",,,"01106_00","reservegebied voor wonen",,"ct:011",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","ONWAAR","ONWAAR"
"ct:01106_01","skos:Concept",,,"01106_01","reservegebied voor wonen",,"ct:011",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","ONWAAR","ONWAAR"
"ct:01107_00","skos:Concept",,,"01107_00","strategisch woonproject",,"ct:011",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","ONWAAR","ONWAAR"
"ct:01108_00","skos:Concept",,,"01108_00","gebied voor wonen en landbouw",,"ct:011",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","ONWAAR","WAAR"
"ct:01108_01","skos:Concept",,,"01108_01","gebied voor wonen en landbouw",,"ct:011",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","ONWAAR","WAAR"
"ct:01108_02","skos:Concept",,,"01108_02","gebied voor wonen en landbouw",,"ct:011",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","ONWAAR","WAAR"
"ct:01109_00","skos:Concept",,,"01109_00","Landelijk woongebied met culturele, historische en/of esthetische waarde",,"ct:011",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"gv","ONWAAR","ONWAAR"
"ct:01109_01","skos:Concept",,,"01109_01","Landelijk woongebied met culturele, historische en/of esthetische waarde",,"ct:011",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"gv","ONWAAR","ONWAAR"
"ct:01110_01","skos:Concept",,,"01110_01","randstedelijk wonen",,"ct:011",,,,,,,,,,,"cs:plan_legende",,,,,,,,"L","ov","ONWAAR","ONWAAR"
"ct:01110_02","skos:Concept",,,"01110_02","randstedelijk wonen",,"ct:011",,,,,,,,,,,"cs:plan_legende",,,,,,,,"L","gv","ONWAAR","ONWAAR"
"ct:01111_xx","skos:Concept",,,"01111_xx","bestaande woningen",,"ct:011",,,,,,,,,,,"cs:plan_legende",,,,,,,,"/",,"ONWAAR","ONWAAR"
"ct:01112_00","skos:Concept",,,"01112_00","stationsplein",,"ct:011",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"ov","ONWAAR","ONWAAR"
"ct:01113_00","skos:Concept",,,"01113_00","woonwagenpark",,"ct:011",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"gv","ONWAAR","ONWAAR"
"ct:01114_00","skos:Concept",,,"01114_00","bouwvrij wonen",,"ct:011",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"detail","ONWAAR","ONWAAR"
"ct:01115_00","skos:Concept",,,"01115_00","gemengde aktiviteiten",,"ct:011",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"gv","ONWAAR","ONWAAR"
"ct:01116_xx","skos:Concept",,,"01116_xx","zone voor wonen en park",,"ct:011",,,,,,,,,,,"cs:plan_legende",,,,,,,,,,"ONWAAR","ONWAAR"
"ct:01117_00","skos:Concept",,,"01117_00","sociaal objectief",,"ct:011",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"ov","ONWAAR","ONWAAR"
"ct:02","skos:Concept",,"colt:voorschrift_categorie","02","recreatiegebieden",,,,,,,,,,,,,"cs:plan_legende",,,,,,,"cs:plan_legende",,,,
"ct:021","skos:Concept",,"colt:voorschrift_subcategorie","021","recreatiegebieden (in gewestelijke rups)",,"ct:02",,,,,,,,,,,,,,,,,,,,,,
"ct:02101_00","skos:Concept",,,"02101_00","randstedelijk groengebied met dagrecreatieve infrastructuur",,"ct:021",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","ONWAAR","ONWAAR"
"ct:02101_01","skos:Concept",,,"02101_01","randstedelijk groengebied met dagrecreatieve infrastructuur",,"ct:021",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","ONWAAR","ONWAAR"
"ct:02102_00","skos:Concept",,,"02102_00","recreatiegebied",,"ct:021",,,,,,,,,,,"cs:plan_legende",,,,,,,,"L","gv","WAAR","ONWAAR"
"ct:02102_01","skos:Concept",,,"02102_01","recreatiegebied",,"ct:021",,,,,,,,,,,"cs:plan_legende",,,,,,,,"L","gv","WAAR","ONWAAR"
"ct:02102_02","skos:Concept",,,"02102_02","recreatiegebied",,"ct:021",,,,,,,,,,,"cs:plan_legende",,,,,,,,"L","detail","WAAR","ONWAAR"
"ct:02102_03","skos:Concept",,,"02102_03","recreatiegebied",,"ct:021",,,,,,,,,,,"cs:plan_legende",,,,,,,,"L","detail","WAAR","ONWAAR"
"ct:02103_00","skos:Concept",,,"02103_00","gebied voor dagrecreatie",,"ct:021",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","ONWAAR","ONWAAR"
"ct:02103_01","skos:Concept",,,"02103_01","gebied voor dagrecreatie",,"ct:021",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","ONWAAR","ONWAAR"
"ct:02104_00","skos:Concept",,,"02104_00","gebied voor recreatie vliegen",,"ct:021",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"gv","ONWAAR","ONWAAR"
"ct:02105_00","skos:Concept",,,"02105_00","gebied voor golfterrein",,"ct:021",,,,,,,,,,,"cs:plan_legende",,,,,,,,"L","gv","WAAR","ONWAAR"
"ct:02106_00","skos:Concept",,,"02106_00","watergebonden recreatie [131_1]",,"ct:021",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","ONWAAR","ONWAAR"
"ct:02106_01","skos:Concept",,,"02106_01","watergebonden recreatie [131_1]",,"ct:021",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","detail","ONWAAR","ONWAAR"
"ct:02107_xx","skos:Concept",,,"02107_xx","gebied voor motocross",,"ct:021",,,,,,,,,,,"cs:plan_legende",,,,,,,,,,"ONWAAR","ONWAAR"
"ct:02108_00","skos:Concept",,,"02108_00","recreatieve bebouwing",,"ct:021",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"detail","ONWAAR","ONWAAR"
"ct:02109_00","skos:Concept",,,"02109_00","verblijfsrecreatie in groepen",,"ct:021",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"gv","ONWAAR","ONWAAR"
"ct:02110_00","skos:Concept",,,"02110_00","verblijfsrecreatie",,"ct:021",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"gv","ONWAAR","ONWAAR"
"ct:02111_00","skos:Concept",,,"02111_00","recreatiebuffer",,"ct:021",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"detail","ONWAAR","ONWAAR"
"ct:03","skos:Concept",,"colt:voorschrift_categorie","03","natuur- en reservaatgebieden",,,,,,,,,,,,,"cs:plan_legende",,,,,,,"cs:plan_legende",,,,
"ct:031","skos:Concept",,"colt:voorschrift_subcategorie","031","natuur- en reservaatgebieden (in gewestelijke rups)",,"ct:03",,,,,,,,,,,,,,,,,,,,,,
"ct:03102_00","skos:Concept",,,"03102_00","natuurgebied",,"ct:031",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:03102_01","skos:Concept",,,"03102_01","natuurgebied",,"ct:031",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","ov","WAAR","ONWAAR"
"ct:03102_02","skos:Concept",,,"03102_02","natuurgebied",,"ct:031",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:03102_03","skos:Concept",,,"03102_03","natuurgebied",,"ct:031",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","detail","WAAR","ONWAAR"
"ct:03102_04","skos:Concept",,,"03102_04","natuurgebied",,"ct:031",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:03103_00","skos:Concept",,,"03103_00","overstromings- en natuurgebied",,"ct:031",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","ONWAAR","ONWAAR"
"ct:03103_01","skos:Concept",,,"03103_01","overstromings- en natuurgebied",,"ct:031",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","ONWAAR","ONWAAR"
"ct:03103_02","skos:Concept",,,"03103_02","overstromings- en natuurgebied",,"ct:031",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","ONWAAR","ONWAAR"
"ct:03103_05","skos:Concept",,,"03103_05","overstromings- en natuurgebied",,"ct:031",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","na","ONWAAR","ONWAAR"
"ct:03104_00","skos:Concept",,,"03104_00","ecologische infrastructuur",,"ct:031",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","ONWAAR","ONWAAR"
"ct:03104_01","skos:Concept",,,"03104_01","ecologische infrastructuur",,"ct:031",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","ONWAAR","ONWAAR"
"ct:03104_02","skos:Concept",,,"03104_02","ecologische infrastructuur",,"ct:031",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","ONWAAR","ONWAAR"
"ct:04","skos:Concept",,"colt:voorschrift_categorie","04","overige groengebieden",,,,,,,,,,,,,"cs:plan_legende",,,,,,,"cs:plan_legende",,,,
"ct:041","skos:Concept",,"colt:voorschrift_subcategorie","041","groengebieden (in gewestelijke rups)",,"ct:04",,,,,,,,,,,,,,,,,,,,,,
"ct:04101_00","skos:Concept",,,"04101_00","randstedelijk groengebied",,"ct:041",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","ONWAAR","ONWAAR"
"ct:04102_00","skos:Concept",,,"04102_00","gemengd openruimtegebied",,"ct:041",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:04102_01","skos:Concept",,,"04102_01","gemengd openruimtegebied",,"ct:041",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:04102_02","skos:Concept",,,"04102_02","gemengd openruimtegebied",,"ct:041",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:04102_03","skos:Concept",,,"04102_03","gemengd openruimtegebied",,"ct:041",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:04102_04","skos:Concept",,,"04102_04","gemengd openruimtegebied",,"ct:041",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:04105_00","skos:Concept",,,"04105_00","structurerend groengebied (deze code komt ook voor met legende donkerblauwe arcering = beekvallei)",,"ct:041",,,,,,,,,,,"cs:plan_legende",,,,,,,,"L","detail","ONWAAR","ONWAAR"
"ct:04105_01","skos:Concept",,,"04105_01","structurerend groengebied (deze code komt ook voor met legende donkerblauwe arcering = beekvallei)",,"ct:041",,,,,,,,,,,"cs:plan_legende",,,,,,,,"L","detail","ONWAAR","ONWAAR"
"ct:04105_02","skos:Concept",,,"04105_02","structurerend groengebied (deze code komt ook voor met legende donkerblauwe arcering = beekvallei)",,"ct:041",,,,,,,,,,,"cs:plan_legende",,,,,,,,"L","detail","ONWAAR","ONWAAR"
"ct:04105_03","skos:Concept",,,"04105_03","structurerend groengebied (deze code komt ook voor met legende donkerblauwe arcering = beekvallei)",,"ct:041",,,,,,,,,,,"cs:plan_legende",,,,,,,,"L","detail","ONWAAR","ONWAAR"
"ct:04106_00","skos:Concept",,,"04106_00","gemengd openruimte met cultuurhistorische waarde",,"ct:041",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"gv","ONWAAR","ONWAAR"
"ct:04106_01","skos:Concept",,,"04106_01","gemengd openruimte met cultuurhistorische waarde",,"ct:041",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"gv","ONWAAR","ONWAAR"
"ct:04107_00","skos:Concept",,,"04107_00","watergevoelig openruimtegebied",,"ct:041",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"gv","ONWAAR","ONWAAR"
"ct:042","skos:Concept",,"colt:voorschrift_subcategorie","042","buffergebieden (in gewestelijke rups)",,"ct:04",,,,,,,,,,,,,,,,,,,,,,
"ct:04201_00","skos:Concept",,,"04201_00","bosbuffer",,"ct:042",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","detail","ONWAAR","ONWAAR"
"ct:04201_01","skos:Concept",,,"04201_01","bosbuffer",,"ct:042",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","detail","ONWAAR","ONWAAR"
"ct:04201_02","skos:Concept",,,"04201_02","bosbuffer",,"ct:042",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","detail","ONWAAR","ONWAAR"
"ct:04202_00","skos:Concept",,,"04202_00","buffer",,"ct:042",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","detail","WAAR","ONWAAR"
"ct:04202_01","skos:Concept",,,"04202_01","buffer",,"ct:042",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","detail","WAAR","ONWAAR"
"ct:04202_02","skos:Concept",,,"04202_02","buffer",,"ct:042",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","detail","WAAR","ONWAAR"
"ct:04202_03","skos:Concept",,,"04202_03","buffer",,"ct:042",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","detail","WAAR","ONWAAR"
"ct:04202_04","skos:Concept",,,"04202_04","buffer",,"ct:042",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","detail","WAAR","ONWAAR"
"ct:04203_00","skos:Concept",,,"04203_00","natuurbuffer",,"ct:042",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","detail","ONWAAR","ONWAAR"
"ct:04203_01","skos:Concept",,,"04203_01","natuurbuffer",,"ct:042",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","detail","ONWAAR","ONWAAR"
"ct:04203_02","skos:Concept",,,"04203_02","natuurbuffer",,"ct:042",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","ONWAAR","ONWAAR"
"ct:04204_00","skos:Concept",,,"04204_00","gemengd buffergebied",,"ct:042",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","ONWAAR","ONWAAR"
"ct:04205_00","skos:Concept",,,"04205_00","koppelingsgebied",,"ct:042",,,,,,,,,,,"cs:plan_legende",,,,,,,,"/","gv","ONWAAR","ONWAAR"
"ct:04205_01","skos:Concept",,,"04205_01","koppelingsgebied",,"ct:042",,,,,,,,,,,"cs:plan_legende",,,,,,,,"/","gv","ONWAAR","ONWAAR"
"ct:04207_00","skos:Concept",,,"04207_00","overige buffergebieden (vb dijk)",,"ct:042",,,,,,,,,,,"cs:plan_legende",,,,,,,,"/","gv","ONWAAR","ONWAAR"
"ct:04207_01","skos:Concept",,,"04207_01","overige buffergebieden (vb dijk)",,"ct:042",,,,,,,,,,,"cs:plan_legende",,,,,,,,"/","detail","ONWAAR","ONWAAR"
"ct:04208_00","skos:Concept",,,"04208_00","buffer overgangsgebieden",,"ct:042",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"detail","ONWAAR","ONWAAR"
"ct:043","skos:Concept",,"colt:voorschrift_subcategorie","043","parkgebieden (in gewestelijke rups)",,"ct:04",,,,,,,,,,,,,,,,,,,,,,
"ct:04301_00","skos:Concept",,,"04301_00","park",,"ct:043",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:04301_01","skos:Concept",,,"04301_01","park",,"ct:043",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:04301_02","skos:Concept",,,"04301_02","park",,"ct:043",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:04301_03","skos:Concept",,,"04301_03","park",,"ct:043",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:04302_00","skos:Concept",,,"04302_00","zone voor park (natuureducatieve en laagdynamische recreatie) [131_1 ]",,"ct:043",,,,,,,,,,,"cs:plan_legende",,,,,,,,"L","gv","ONWAAR","ONWAAR"
"ct:04302_01","skos:Concept",,,"04302_01","zone voor park (natuureducatieve en laagdynamische recreatie) [131_1 ]",,"ct:043",,,,,,,,,,,"cs:plan_legende",,,,,,,,"L","gv","ONWAAR","ONWAAR"
"ct:05","skos:Concept",,"colt:voorschrift_categorie","05","bosgebieden",,,,,,,,,,,,,"cs:plan_legende",,,,,,,"cs:plan_legende",,,,
