"uri","type","dc.id","collection","notation","prefLabel","altLabel","broader","broaderTransitive","broadMatch","changeNote","closeMatch","definition","editorialNote","exactMatch","example","hiddenLabel","historyNote","inScheme","mappingRelation","note","related","relatedMatch","scopeNote","semanticRelation","topConceptOf","type_status","layer","typevoorschrift","typevoorschriften.uitdovend"
"ct:051","skos:Concept",,"colt:voorschrift_subcategorie","051","bosgebieden (in gewestelijke rups)",,"ct:05",,,,,,,,,,,,,,,,,,,,,,
"ct:05101_00","skos:Concept",,,"05101_00","bosgebied",,"ct:051",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:05101_01","skos:Concept",,,"05101_01","bosgebied",,"ct:051",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","na","WAAR","ONWAAR"
"ct:05101_04","skos:Concept",,,"05101_04","bosgebied",,"ct:051",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","detail","WAAR","ONWAAR"
"ct:05101_05","skos:Concept",,,"05101_05","bosgebied",,"ct:051",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:05101_06","skos:Concept",,,"05101_06","bosgebied",,"ct:051",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:05103_00","skos:Concept",,,"05103_00","nabestemming bosgebied [zie rup 10_1 turnhout, art. 16,2]",,"ct:051",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","na","ONWAAR","ONWAAR"
"ct:06","skos:Concept",,"colt:voorschrift_categorie","06","landbouwgebieden",,,,,,,,,,,,,"cs:plan_legende",,,,,,,"cs:plan_legende",,,,
"ct:061","skos:Concept",,"colt:voorschrift_subcategorie","061","landbouwgebieden",,"ct:06",,,,,,,,,,,,,,,,,,,,,,
"ct:06101_00","skos:Concept",,,"06101_00","agrarisch gebied",,"ct:061",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:06101_01","skos:Concept",,,"06101_01","agrarisch gebied",,"ct:061",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:06101_02","skos:Concept",,,"06101_02","agrarisch gebied",,"ct:061",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","detail","WAAR","ONWAAR"
"ct:06101_03","skos:Concept",,,"06101_03","agrarisch gebied",,"ct:061",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:06101_04","skos:Concept",,,"06101_04","agrarisch gebied",,"ct:061",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:06101_05","skos:Concept",,,"06101_05","agrarisch gebied",,"ct:061",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:06101_06","skos:Concept",,,"06101_06","agrarisch gebied",,"ct:061",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:06102_00","skos:Concept",,,"06102_00","bouwvrij agrarisch gebied",,"ct:061",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:06102_01","skos:Concept",,,"06102_01","bouwvrij agrarisch gebied",,"ct:061",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:06102_02","skos:Concept",,,"06102_02","bouwvrij agrarisch gebied",,"ct:061",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:06102_03","skos:Concept",,,"06102_03","bouwvrij agrarisch gebied",,"ct:061",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:06104_00","skos:Concept",,,"06104_00","agrarische bedrijvenzone",,"ct:061",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"gv","WAAR","ONWAAR"
"ct:06105_00","skos:Concept",,,"06105_00","perimeter voor glastuinbouwbedrijven",,"ct:061",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"detail","ONWAAR","ONWAAR"
"ct:06106_00","skos:Concept",,,"06106_00","agrarisch gebied met landschappelijke kenmerken",,"ct:061",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"gv","ONWAAR","ONWAAR"
"ct:06107_00","skos:Concept",,,"06107_00","agrarisch gebied met ecologisch belang",,"ct:061",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"gv","ONWAAR","ONWAAR"
"ct:07","skos:Concept",,"colt:voorschrift_categorie","07","industriegebieden",,,,,,,,,,,,,"cs:plan_legende",,,,,,,"cs:plan_legende",,,,
"ct:071","skos:Concept",,"colt:voorschrift_subcategorie","071","regionale bedrijventerreinen",,"ct:07",,,,,,,,,,,,,,,,,,,,,,
"ct:07101_00","skos:Concept",,,"07101_00","gemengd regionaal bedrijventerrein",,"ct:071",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:07101_01","skos:Concept",,,"07101_01","gemengd regionaal bedrijventerrein",,"ct:071",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:07101_02","skos:Concept",,,"07101_02","gemengd regionaal bedrijventerrein",,"ct:071",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:07101_03","skos:Concept",,,"07101_03","gemengd regionaal bedrijventerrein",,"ct:071",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","detail","WAAR","ONWAAR"
"ct:07101_04","skos:Concept",,,"07101_04","gemengd regionaal bedrijventerrein",,"ct:071",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","na","WAAR","ONWAAR"
"ct:07101_05","skos:Concept",,,"07101_05","gemengd regionaal bedrijventerrein",,"ct:071",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:07101_06","skos:Concept",,,"07101_06","gemengd regionaal bedrijventerrein",,"ct:071",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:07102_00","skos:Concept",,,"07102_00","specifiek regionaal bedrijventerrein voor transport, distributie en logistiek",,"ct:071",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:07102_01","skos:Concept",,,"07102_01","specifiek regionaal bedrijventerrein voor transport, distributie en logistiek",,"ct:071",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:07102_02","skos:Concept",,,"07102_02","specifiek regionaal bedrijventerrein voor transport, distributie en logistiek",,"ct:071",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:07103_00","skos:Concept",,,"07103_00","specifiek regionaal bedrijventerrein voor kantoren",,"ct:071",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:07103_01","skos:Concept",,,"07103_01","specifiek regionaal bedrijventerrein voor kantoren",,"ct:071",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:07103_02","skos:Concept",,,"07103_02","specifiek regionaal bedrijventerrein voor kantoren",,"ct:071",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","detail","WAAR","ONWAAR"
"ct:07103_03","skos:Concept",,,"07103_03","specifiek regionaal bedrijventerrein voor kantoren",,"ct:071",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:07103_04","skos:Concept",,,"07103_04","specifiek regionaal bedrijventerrein voor kantoren",,"ct:071",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:07104_00","skos:Concept",,,"07104_00","specifiek regionaal bedrijventerrein voor kleinhandel",,"ct:071",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:07104_01","skos:Concept",,,"07104_01","specifiek regionaal bedrijventerrein voor kleinhandel",,"ct:071",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:07104_02","skos:Concept",,,"07104_02","specifiek regionaal bedrijventerrein voor kleinhandel",,"ct:071",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:07105_00","skos:Concept",,,"07105_00","specifiek regionaal bedrijventerrein voor luchthavengebonden bedrijven",,"ct:071",,,,,,,,,,,"cs:plan_legende",,,,,,,,"/","gv","WAAR","ONWAAR"
"ct:07106_00","skos:Concept",,,"07106_00","specifiek regionaal bedrijventerrein met watergebonden karakter",,"ct:071",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:07106_01","skos:Concept",,,"07106_01","specifiek regionaal bedrijventerrein met watergebonden karakter",,"ct:071",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:07106_02","skos:Concept",,,"07106_02","specifiek regionaal bedrijventerrein met watergebonden karakter",,"ct:071",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","ov","WAAR","ONWAAR"
"ct:07106_03","skos:Concept",,,"07106_03","specifiek regionaal bedrijventerrein met watergebonden karakter",,"ct:071",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:07106_04","skos:Concept",,,"07106_04","specifiek regionaal bedrijventerrein met watergebonden karakter",,"ct:071",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:07107_00","skos:Concept",,,"07107_00","specifiek regionaal bedrijventerrein voor wetenschapspark",,"ct:071",,,,,,,,,,,"cs:plan_legende",,,,,,,,"/","gv","WAAR","ONWAAR"
"ct:07107_01","skos:Concept",,,"07107_01","specifiek regionaal bedrijventerrein voor wetenschapspark",,"ct:071",,,,,,,,,,,"cs:plan_legende",,,,,,,,"/","na","WAAR","ONWAAR"
"ct:07107_02","skos:Concept",,,"07107_02","specifiek regionaal bedrijventerrein voor wetenschapspark",,"ct:071",,,,,,,,,,,"cs:plan_legende",,,,,,,,"/","gv","WAAR","ONWAAR"
"ct:07108_00","skos:Concept",,,"07108_00","specifiek regionaal bedrijventerrein voor afvalverwerking en recyclage",,"ct:071",,,,,,,,,,,"cs:plan_legende",,,,,,,,"/","gv","WAAR","ONWAAR"
"ct:07108_01","skos:Concept",,,"07108_01","specifiek regionaal bedrijventerrein voor afvalverwerking en recyclage",,"ct:071",,,,,,,,,,,"cs:plan_legende",,,,,,,,"/","gv","WAAR","ONWAAR"
"ct:07109_00","skos:Concept",,,"07109_00","regionaal bedrijventerrein voor agro-industrie",,"ct:071",,,,,,,,,,,"cs:plan_legende",,,,,,,,"/","gv","WAAR","ONWAAR"
"ct:07110_00","skos:Concept",,,"07110_00","specifiek regionaal bedrijventerrein voor spoorweggebonden bedrijven",,"ct:071",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"gv","ONWAAR","ONWAAR"
"ct:07111_00","skos:Concept",,,"07111_00","bedrijventerrein voor bestaand regionaal bedrijf",,"ct:071",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"gv","ONWAAR","ONWAAR"
"ct:072","skos:Concept",,"colt:voorschrift_subcategorie","072","bedrijventerreinen in zeehavengebieden",,"ct:07",,,,,,,,,,,,,,,,,,,,,,
"ct:07204_00","skos:Concept",,,"07204_00","gebied voor zeehaven- en watergebonden bedrijven",,"ct:072",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:07204_01","skos:Concept",,,"07204_01","gebied voor zeehaven- en watergebonden bedrijven",,"ct:072",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:07204_02","skos:Concept",,,"07204_02","gebied voor zeehaven- en watergebonden bedrijven",,"ct:072",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","ov","WAAR","ONWAAR"
"ct:07204_03","skos:Concept",,,"07204_03","gebied voor zeehaven- en watergebonden bedrijven",,"ct:072",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:07204_04","skos:Concept",,,"07204_04","gebied voor zeehaven- en watergebonden bedrijven",,"ct:072",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:07204_05","skos:Concept",,,"07204_05","gebied voor zeehaven- en watergebonden bedrijven",,"ct:072",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:07204_06","skos:Concept",,,"07204_06","gebied voor zeehaven- en watergebonden bedrijven",,"ct:072",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:07204_07","skos:Concept",,,"07204_07","gebied voor zeehaven- en watergebonden bedrijven",,"ct:072",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:07204_08","skos:Concept",,,"07204_08","gebied voor zeehaven- en watergebonden bedrijven",,"ct:072",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:07204_09","skos:Concept",,,"07204_09","gebied voor zeehaven- en watergebonden bedrijven",,"ct:072",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:07205_00","skos:Concept",,,"07205_00","zone met zeehavengebonden kantoren en dienstverlenende bedrijven [131_1]",,"ct:072",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","ONWAAR","ONWAAR"
"ct:07205_01","skos:Concept",,,"07205_01","zone met zeehavengebonden kantoren en dienstverlenende bedrijven [131_1]",,"ct:072",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","detail","ONWAAR","ONWAAR"
"ct:07206_00","skos:Concept",,,"07206_00","zone voor bestaande productiebedrijvigheid in zeehavengebied",,"ct:072",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","ONWAAR","ONWAAR"
"ct:07206_01","skos:Concept",,,"07206_01","zone voor bestaande productiebedrijvigheid in zeehavengebied",,"ct:072",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","ONWAAR","ONWAAR"
"ct:07207_00","skos:Concept",,,"07207_00","zone voor zeehavengebonden opslag- en verpakkingsactiviteit [131_1]",,"ct:072",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","ONWAAR","ONWAAR"
"ct:07209_00","skos:Concept",,,"07209_00","zone voor zeehavenondersteunende regionale bedrijvigheid [131_1]",,"ct:072",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","ONWAAR","ONWAAR"
"ct:07210_00","skos:Concept",,,"07210_00","gebied voor energie",,"ct:072",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"gv","ONWAAR","ONWAAR"
"ct:07210_01","skos:Concept",,,"07210_01","gebied voor energie",,"ct:072",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"gv","ONWAAR","ONWAAR"
"ct:074","skos:Concept",,"colt:voorschrift_subcategorie","074","historisch gegroeid regionaal bedrijventerrein",,"ct:07",,,,,,,,,,,,,,,,,,,,,,
"ct:07401_00","skos:Concept",,,"07401_00","bedrijventerrein voor historisch gegroeid bedrijf",,"ct:074",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:07401_01","skos:Concept",,,"07401_01","bedrijventerrein voor historisch gegroeid bedrijf",,"ct:074",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:07401_02","skos:Concept",,,"07401_02","bedrijventerrein voor historisch gegroeid bedrijf",,"ct:074",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:07402_00","skos:Concept",,,"07402_00","bedrijventerrein voor historisch gegroeid bedrijf met voorbestemming woongebied",,"ct:074",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"gv","ONWAAR","ONWAAR"
"ct:075","skos:Concept",,"colt:voorschrift_subcategorie","075","lokale bedrijventerreinen",,"ct:07",,,,,,,,,,,,,,,,,,,,,,
"ct:07501_00","skos:Concept",,,"07501_00","lokaal bedrijventerrein",,"ct:075",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","ONWAAR","ONWAAR"
"ct:07501_01","skos:Concept",,,"07501_01","lokaal bedrijventerrein",,"ct:075",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","ONWAAR","ONWAAR"
"ct:07502_00","skos:Concept",,,"07502_00","bestaand industriegebied",,"ct:075",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"gv","ONWAAR","ONWAAR"
"ct:076","skos:Concept",,"colt:voorschrift_subcategorie","076","gemengde en lokale bedrijventerreinen",,"ct:07",,,,,,,,,,,,,,,,,,,,,,
"ct:07601_00","skos:Concept",,,"07601_00","zone voor commerciële aktiviteiten",,"ct:076",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"gv","ONWAAR","ONWAAR"
"ct:07602_00","skos:Concept",,,"07602_00","bedrijventerrein voor kantoren en katoorachtigen en lokale bedrijvigheid",,"ct:076",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","ONWAAR","ONWAAR"
"ct:07604_00","skos:Concept",,,"07604_00","grootschalige kleinhandel en/of lokaal bedrijventerrein",,"ct:076",,,,,,,,,,,"cs:plan_legende",,,,,,,,"L","gv","ONWAAR","ONWAAR"
"ct:08","skos:Concept",,"colt:voorschrift_categorie","08","gemeenschapsvoorzieningen en nutsvoorzieningen",,,,,,,,,,,,,"cs:plan_legende",,,,,,,"cs:plan_legende",,,,
"ct:081","skos:Concept",,"colt:voorschrift_subcategorie","081","openbaar nut",,"ct:08",,,,,,,,,,,,,,,,,,,,,,
"ct:08101_00","skos:Concept",,,"08101_00","gebied voor hernieuwbare energie",,"ct:081",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","ov","WAAR","ONWAAR"
"ct:08102_00","skos:Concept",,,"08102_00","gebied voor gemeenschaps- en openbare nutsvoorzieningen",,"ct:081",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:08102_01","skos:Concept",,,"08102_01","gebied voor gemeenschaps- en openbare nutsvoorzieningen",,"ct:081",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:08102_03","skos:Concept",,,"08102_03","gebied voor gemeenschaps- en openbare nutsvoorzieningen",,"ct:081",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:08102_04","skos:Concept",,,"08102_04","gebied voor gemeenschaps- en openbare nutsvoorzieningen",,"ct:081",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:08103_00","skos:Concept",,,"08103_00","gebied voor publiek wegenonderhoud en beheer",,"ct:081",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","ONWAAR","ONWAAR"
"ct:08103_01","skos:Concept",,,"08103_01","gebied voor publiek wegenonderhoud en beheer",,"ct:081",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","detail","ONWAAR","ONWAAR"
"ct:08105_00","skos:Concept",,,"08105_00","gebied van openbaar nut en recreatie",,"ct:081",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","ONWAAR","ONWAAR"
"ct:08105_01","skos:Concept",,,"08105_01","gebied van openbaar nut en recreatie",,"ct:081",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","ov","ONWAAR","ONWAAR"
"ct:08106_00","skos:Concept",,,"08106_00","havenondersteunende gemeenschapsvoorzieningen",,"ct:081",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","ONWAAR","ONWAAR"
"ct:08106_02","skos:Concept",,,"08106_02","havenondersteunende gemeenschapsvoorzieningen",,"ct:081",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","ONWAAR","ONWAAR"
"ct:08107_00","skos:Concept",,,"08107_00","gebied voor zuiveringsinfrastructuur voor afvalwater [5_1 /131_1]",,"ct:081",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:08107_01","skos:Concept",,,"08107_01","gebied voor zuiveringsinfrastructuur voor afvalwater [5_1 /131_1]",,"ct:081",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","detail","WAAR","ONWAAR"
"ct:08107_02","skos:Concept",,,"08107_02","gebied voor zuiveringsinfrastructuur voor afvalwater [5_1 /131_1]",,"ct:081",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:08107_03","skos:Concept",,,"08107_03","gebied voor zuiveringsinfrastructuur voor afvalwater [5_1 /131_1]",,"ct:081",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","detail","WAAR","ONWAAR"
"ct:08108_00","skos:Concept",,,"08108_00","zone voor transformatorpark",,"ct:081",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","ONWAAR","ONWAAR"
"ct:08109_00","skos:Concept",,,"08109_00","gebied voor infrastructuur voor duurzame watervoorziening",,"ct:081",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"gv","WAAR","ONWAAR"
"ct:08110_00","skos:Concept",,,"08110_00","gebied voor telecommunicatie-infrastructuur",,"ct:081",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","ONWAAR","ONWAAR"
"ct:08111_00","skos:Concept",,,"08111_00","Gebied voor zorginfrastructuur",,"ct:081",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"gv","ONWAAR","ONWAAR"
"ct:08112_01","skos:Concept",,,"08112_01","Infrastructuurlandschap",,"ct:081",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"gv","ONWAAR","ONWAAR"
"ct:082","skos:Concept",,"colt:voorschrift_subcategorie","082","militair domein",,"ct:08",,,,,,,,,,,,,,,,,,,,,,
"ct:08201_00","skos:Concept",,,"08201_00","militair domein",,"ct:082",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"gv","ONWAAR","ONWAAR"
"ct:083","skos:Concept",,"colt:voorschrift_subcategorie","083","watergevoelige zones",,"ct:08",,,,,,,,,,,,,,,,,,,,,,
"ct:08302_00","skos:Concept",,,"08302_00","waterbeheersgebieden",,"ct:083",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","ONWAAR","ONWAAR"
"ct:08302_01","skos:Concept",,,"08302_01","waterbeheersgebieden",,"ct:083",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","detail","ONWAAR","ONWAAR"
"ct:084","skos:Concept",,"colt:voorschrift_subcategorie","084","waterwinningsgebieden",,"ct:08",,,,,,,,,,,,,,,,,,,,,,
"ct:08401_00","skos:Concept",,,"08401_00","waterwinningsgebied",,"ct:084",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","ov","ONWAAR","ONWAAR"
"ct:08401_01","skos:Concept",,,"08401_01","waterwinningsgebied",,"ct:084",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","ov","ONWAAR","ONWAAR"
"ct:08402_00","skos:Concept",,,"08402_00","waterberging",,"ct:084",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"ov","ONWAAR","ONWAAR"
"ct:085","skos:Concept",,"colt:voorschrift_subcategorie","085","ontginningsgebieden",,"ct:08",,,,,,,,,,,,,,,,,,,,,,
"ct:08501_00","skos:Concept",,,"08501_00","gebied voor de winning van oppervlaktedelfstoffen",,"ct:085",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:08501_02","skos:Concept",,,"08501_02","gebied voor de winning van oppervlaktedelfstoffen",,"ct:085",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","voor","WAAR","ONWAAR"
"ct:08501_03","skos:Concept",,,"08501_03","gebied voor de winning van oppervlaktedelfstoffen",,"ct:085",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:08502_00","skos:Concept",,,"08502_00","gebied voor verwerking van oppervlaktedelfstoffen",,"ct:085",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:08503_00","skos:Concept",,,"08503_00","gebied voor recuperatie of recyclage",,"ct:085",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"gv","ONWAAR","ONWAAR"
"ct:08504_00","skos:Concept",,,"08504_00","gebied voor projectgrindwinning",,"ct:085",,,,,,,,,,,"cs:plan_legende",,,,,,,,,"gv","ONWAAR","ONWAAR"
"ct:086","skos:Concept",,"colt:voorschrift_subcategorie","086","stortgebieden",,"ct:08",,,,,,,,,,,,,,,,,,,,,,
"ct:08601_00","skos:Concept",,,"08601_00","stortgebied",,"ct:086",,,,,,,,,,,"cs:plan_legende",,,,,,,,"/","detail","ONWAAR","ONWAAR"
"ct:08601_01","skos:Concept",,,"08601_01","stortgebied",,"ct:086",,,,,,,,,,,"cs:plan_legende",,,,,,,,"/","gv","ONWAAR","ONWAAR"
"ct:08602_00","skos:Concept",,,"08602_00","gebied voor specieberging",,"ct:086",,,,,,,,,,,"cs:plan_legende",,,,,,,,"/","ov","ONWAAR","ONWAAR"
